id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes,dataset_id,dataset_name,category_id,category_name,subcategory_id,subcategory_name
mdl172_mktdebt,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8324,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_mktinv,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.6349,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_mngfrvlwgtavg,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8603,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_nondepasset,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8655,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_oyftrcsd,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8655,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_p_erati1,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8652,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_p_erati2,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8632,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_percfut,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8637,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_percgrowfy1,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8637,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_prc_book,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8538,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_prc_sale,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8381,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_prcurebitd,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8614,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_prebitdlfy,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8653,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_price,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8655,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_price_b,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8637,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_price_h,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8637,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_price_l,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8636,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_ptargetb,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8637,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_pv_ftinv,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8637,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
